"","gene_functions"
"Gene_1","Oxidative_phosphorylation"
"Gene_2","Oxidative_phosphorylation"
"Gene_3","Oxidative_phosphorylation"
"Gene_4","Oxidative_phosphorylation"
"Gene_5","Oxidative_phosphorylation"
"Gene_6","Oxidative_phosphorylation"
"Gene_7","Oxidative_phosphorylation"
"Gene_8","Oxidative_phosphorylation"
"Gene_9","Oxidative_phosphorylation"
"Gene_10","Oxidative_phosphorylation"
"Gene_11","Cell_cycle"
"Gene_12","Cell_cycle"
"Gene_13","Cell_cycle"
"Gene_14","Cell_cycle"
"Gene_15","Cell_cycle"
"Gene_16","Cell_cycle"
"Gene_17","Cell_cycle"
"Gene_18","Cell_cycle"
"Gene_19","Cell_cycle"
"Gene_20","Cell_cycle"
"Gene_21","Immune_regulation"
"Gene_22","Immune_regulation"
"Gene_23","Immune_regulation"
"Gene_24","Immune_regulation"
"Gene_25","Immune_regulation"
"Gene_26","Immune_regulation"
"Gene_27","Immune_regulation"
"Gene_28","Immune_regulation"
"Gene_29","Immune_regulation"
"Gene_30","Immune_regulation"
"Gene_31","Signal_transduction"
"Gene_32","Signal_transduction"
"Gene_33","Signal_transduction"
"Gene_34","Signal_transduction"
"Gene_35","Signal_transduction"
"Gene_36","Signal_transduction"
"Gene_37","Signal_transduction"
"Gene_38","Signal_transduction"
"Gene_39","Signal_transduction"
"Gene_40","Signal_transduction"
"Gene_41","Transcription"
"Gene_42","Transcription"
"Gene_43","Transcription"
"Gene_44","Transcription"
"Gene_45","Transcription"
"Gene_46","Transcription"
"Gene_47","Transcription"
"Gene_48","Transcription"
"Gene_49","Transcription"
"Gene_50","Transcription"
